id,ville,quartier,prix,surface,chambres,salles_bain,etage,ascenseur,parking,terrasse,type,lat,lng
38,Casablanca,Maarif,1367000,54,1,1,1,Yes,No,No,Studio,33.577974,-7.610071
39,Marrakech,Targa,1110000,47,1,1,3,Yes,Yes,No,Studio,31.632168,-7.991026
40,Tanger,Malabata,914000,61,2,1,5,Yes,No,No,Appartement,35.754042,-5.840393
41,Casablanca,CIL,1448000,60,1,1,1,Yes,No,Yes,Studio,33.585709,-7.617026
42,Casablanca,Anfa,1048000,99,2,1,5,Yes,No,Yes,Appartement,33.594585,-7.618808
43,Casablanca,Palmier,2582000,146,3,2,3,Yes,Yes,Yes,Appartement,33.586457,-7.604358
44,Casablanca,Bourgogne,2360000,120,2,1,3,Yes,No,No,Appartement,33.583107,-7.60478
45,Meknès,Al Qods,1520000,175,3,2,2,Yes,No,No,Appartement,33.894091,-5.552682
46,Casablanca,Gauthier,3939000,287,4,3,3,Yes,Yes,Yes,Appartement,33.57731,-7.608518
47,Casablanca,Sidi Maarouf,1640000,115,3,2,4,Yes,No,No,Appartement,33.541369,-7.609268
48,Casablanca,Anfa,1156000,108,2,1,3,Yes,No,No,Appartement,33.597956,-7.620023
49,Casablanca,Maarif,1385000,48,1,1,4,Yes,No,Yes,Studio,33.581622,-7.603324
50,Casablanca,Sidi Maarouf,1004000,36,1,1,3,Yes,No,No,Studio,33.544654,-7.614593
51,Casablanca,Bourgogne,928000,30,1,1,3,Yes,No,No,Studio,33.579768,-7.60045
52,Dar Bouazza,Dar Bouazza Centre,1745000,125,2,2,1,Yes,Yes,Yes,Appartement,33.481514,-7.764511
53,Casablanca,Sidi Maarouf,1175000,52,1,1,2,Yes,Yes,Yes,Studio,33.545974,-7.615729
54,Casablanca,Anfa,1636000,66,2,2,3,Yes,Yes,Yes,Appartement,33.595521,-7.618145
55,Casablanca,CIL,1697000,74,2,2,3,Yes,Yes,Yes,Appartement,33.591776,-7.612887
56,Casablanca,Bourgogne,653000,84,2,2,5,Yes,Yes,Yes,Appartement,33.582769,-7.604032
57,Marrakech,Targa,864000,38,1,1,5,Yes,Yes,No,Studio,31.630674,-7.983421
58,Casablanca,Gauthier,929000,37,1,1,2,Yes,No,No,Studio,33.574568,-7.599072
59,Casablanca,Ain Sebaâ,1362000,45,1,1,1,Yes,No,No,Studio,33.558525,-7.558168
60,Marrakech,M'Hamid,1084000,48,1,1,3,Yes,Yes,No,Studio,31.628536,-7.982911
61,Tanger,Iberia,906000,59,2,1,5,Yes,No,No,Appartement,35.762939,-5.836782
62,Casablanca,Sidi Maarouf,1407000,56,1,1,1,Yes,No,Yes,Studio,33.539089,-7.612322
63,Casablanca,Bourgogne,1022000,101,2,1,5,Yes,No,Yes,Appartement,33.581463,-7.601884
64,Casablanca,Anfa,2454000,139,3,2,3,Yes,Yes,Yes,Appartement,33.597661,-7.624859
65,Casablanca,Ain Sebaâ,2235000,131,2,1,3,Yes,No,No,Appartement,33.54826,-7.557626
66,Meknès,Al Qods,1514000,151,3,2,2,Yes,No,No,Appartement,33.8997,-5.55049
67,Casablanca,Sidi Maarouf,3977000,294,4,3,3,Yes,Yes,Yes,Appartement,33.548286,-7.613083
68,Casablanca,Ain Sebaâ,1680000,122,3,2,4,Yes,No,No,Appartement,33.556493,-7.553279
69,Casablanca,Hay Hassani,1147000,112,2,1,3,Yes,No,No,Appartement,33.552759,-7.596253
70,Casablanca,CIL,1345000,48,1,1,4,Yes,No,Yes,Studio,33.58833,-7.616981
71,Casablanca,Bourgogne,950000,34,1,1,3,Yes,No,No,Studio,33.584162,-7.604625
72,Casablanca,Palmier,864000,31,1,1,3,Yes,No,No,Studio,33.578342,-7.601686
73,Dar Bouazza,Dar Bouazza Centre,1745000,140,2,2,1,Yes,Yes,Yes,Appartement,33.477845,-7.757671
74,Casablanca,Gauthier,1120000,50,1,1,2,Yes,Yes,Yes,Studio,33.576261,-7.602013
75,Casablanca,Maarif,1633000,73,2,2,3,Yes,Yes,Yes,Appartement,33.585836,-7.609853
76,Casablanca,Sidi Maarouf,1796000,70,2,2,3,Yes,Yes,Yes,Appartement,33.536429,-7.614811
77,Casablanca,Maarif,685000,82,2,2,5,Yes,Yes,Yes,Appartement,33.577425,-7.608394
78,Marrakech,M'Hamid,915000,33,1,1,5,Yes,Yes,No,Studio,31.626183,-7.982127
79,Casablanca,CIL,905000,31,1,1,2,Yes,No,No,Studio,33.59068,-7.619863
80,Casablanca,Bourgogne,1286000,49,1,1,1,Yes,No,No,Studio,33.581659,-7.599113
81,Marrakech,Guéliz,996000,41,1,1,3,Yes,Yes,No,Studio,31.628148,-7.987042
82,Tanger,Centre-ville,931000,67,2,1,5,Yes,No,No,Appartement,35.761378,-5.835014
83,Casablanca,Gauthier,1477000,55,1,1,1,Yes,No,Yes,Studio,33.575422,-7.61534
84,Casablanca,Sidi Maarouf,1042000,100,2,1,5,Yes,No,Yes,Appartement,33.545292,-7.605304
85,Casablanca,Hay Hassani,2500000,135,3,2,3,Yes,Yes,Yes,Appartement,33.543992,-7.604572
86,Casablanca,CIL,2111000,118,2,1,3,Yes,No,No,Appartement,33.591448,-7.61993
87,Meknès,Ville Nouvelle,1479000,161,3,2,2,Yes,No,No,Appartement,33.885201,-5.552055
88,Casablanca,Ain Sebaâ,3710000,297,4,3,3,Yes,Yes,Yes,Appartement,33.551615,-7.565604
89,Casablanca,Bourgogne,1508000,127,3,2,4,Yes,No,No,Appartement,33.584984,-7.604857
90,Casablanca,Ain Sebaâ,1080000,106,2,1,3,Yes,No,No,Appartement,33.556109,-7.562717
91,Casablanca,Sidi Maarouf,1368000,42,1,1,4,Yes,No,Yes,Studio,33.544992,-7.609648
92,Casablanca,Palmier,985000,34,1,1,3,Yes,No,No,Studio,33.582132,-7.596901
93,Casablanca,Palmier,846000,32,1,1,3,Yes,No,No,Studio,33.586055,-7.596702
94,Dar Bouazza,Bouskoura,1907000,133,2,2,1,Yes,Yes,Yes,Appartement,33.480338,-7.772879
95,Casablanca,CIL,1099000,52,1,1,2,Yes,Yes,Yes,Studio,33.590185,-7.616857
96,Casablanca,CIL,1643000,74,2,2,3,Yes,Yes,Yes,Appartement,33.597581,-7.612138
97,Casablanca,Gauthier,1863000,74,2,2,3,Yes,Yes,Yes,Appartement,33.579523,-7.600014
98,Casablanca,Sidi Maarouf,639000,82,2,2,5,Yes,Yes,Yes,Appartement,33.540329,-7.606394
99,Marrakech,Hivernage,951000,37,1,1,5,Yes,Yes,No,Studio,31.625026,-7.9851
100,Casablanca,Palmier,909000,37,1,1,2,Yes,No,No,Studio,33.580462,-7.598881
101,Casablanca,Hay Hassani,1404000,54,1,1,1,Yes,No,No,Studio,33.545709,-7.602969
102,Marrakech,Guéliz,1105000,42,1,1,3,Yes,Yes,No,Studio,31.622375,-7.98159
103,Tanger,Malabata,876000,66,2,1,5,Yes,No,No,Appartement,35.757459,-5.839798
104,Casablanca,Anfa,1462000,59,1,1,1,Yes,No,Yes,Studio,33.601852,-7.618659
105,Casablanca,Ain Sebaâ,958000,89,2,1,5,Yes,No,Yes,Appartement,33.547,-7.556273
106,Casablanca,Ain Sebaâ,2566000,158,3,2,3,Yes,Yes,Yes,Appartement,33.548981,-7.569344
107,Casablanca,CIL,2400000,130,2,1,3,Yes,No,No,Appartement,33.597327,-7.612611
108,Meknès,Al Qods,1530000,177,3,2,2,Yes,No,No,Appartement,33.895842,-5.539585
109,Casablanca,Anfa,4009000,309,4,3,3,Yes,Yes,Yes,Appartement,33.600868,-7.623127
110,Casablanca,CIL,1623000,133,3,2,4,Yes,No,No,Appartement,33.591968,-7.609197
111,Casablanca,CIL,1090000,104,2,1,3,Yes,No,No,Appartement,33.590137,-7.618507
112,Casablanca,Hay Hassani,1412000,43,1,1,4,Yes,No,Yes,Studio,33.542533,-7.603254
113,Casablanca,Palmier,928000,35,1,1,3,Yes,No,No,Studio,33.585221,-7.591733
114,Casablanca,Bourgogne,910000,32,1,1,3,Yes,No,No,Studio,33.582618,-7.597706
115,Dar Bouazza,Val Fleuri,1795000,130,2,2,1,Yes,Yes,Yes,Appartement,33.479365,-7.761863
116,Casablanca,Maarif,1143000,55,1,1,2,Yes,Yes,Yes,Studio,33.591439,-7.609323
117,Casablanca,Anfa,1604000,76,2,2,3,Yes,Yes,Yes,Appartement,33.598943,-7.619015
118,Casablanca,Palmier,1725000,78,2,2,3,Yes,Yes,Yes,Appartement,33.58253,-7.594719
119,Casablanca,Bourgogne,630000,88,2,2,5,Yes,Yes,Yes,Appartement,33.585208,-7.595243
120,Marrakech,M'Hamid,949000,37,1,1,5,Yes,Yes,No,Studio,31.63398,-7.980941
121,Casablanca,Anfa,921000,35,1,1,2,Yes,No,No,Studio,33.599155,-7.620237
122,Casablanca,Bourgogne,1352000,48,1,1,1,Yes,No,No,Studio,33.585959,-7.604138
123,Marrakech,Targa,1076000,39,1,1,3,Yes,Yes,No,Studio,31.63033,-7.986643
124,Tanger,Centre-ville,958000,63,2,1,5,Yes,No,No,Appartement,35.76137,-5.836823
125,Casablanca,Hay Hassani,1441000,57,1,1,1,Yes,No,Yes,Studio,33.549355,-7.604698
126,Casablanca,Maarif,973000,103,2,1,5,Yes,No,Yes,Appartement,33.590727,-7.605027
127,Casablanca,Bourgogne,2716000,143,3,2,3,Yes,Yes,Yes,Appartement,33.571193,-7.603394
128,Casablanca,Palmier,2459000,119,2,1,3,Yes,No,No,Appartement,33.576132,-7.598707
129,Meknès,Ismailia,1568000,160,3,2,2,Yes,No,No,Appartement,33.896199,-5.543084
130,Casablanca,Palmier,4153000,286,4,3,3,Yes,Yes,Yes,Appartement,33.580053,-7.595685
131,Casablanca,Anfa,1512000,126,3,2,4,Yes,No,No,Appartement,33.602488,-7.623748
132,Casablanca,Bourgogne,1206000,108,2,1,3,Yes,No,No,Appartement,33.579474,-7.598888
133,Casablanca,Palmier,1295000,48,1,1,4,Yes,No,Yes,Studio,33.588383,-7.599505
134,Casablanca,Sidi Maarouf,986000,32,1,1,3,Yes,No,No,Studio,33.538029,-7.608992
135,Casablanca,Ain Sebaâ,879000,32,1,1,3,Yes,No,No,Studio,33.553178,-7.56559
136,Dar Bouazza,Bouskoura,1699000,137,2,2,1,Yes,Yes,Yes,Appartement,33.480569,-7.759267
137,Casablanca,Ain Sebaâ,1170000,56,1,1,2,Yes,Yes,Yes,Studio,33.553448,-7.554075
138,Casablanca,Palmier,1500000,70,2,2,3,Yes,Yes,Yes,Appartement,33.585708,-7.599264
139,Casablanca,Palmier,1703000,76,2,2,3,Yes,Yes,Yes,Appartement,33.59117,-7.595735
140,Casablanca,Maarif,661000,76,2,2,5,Yes,Yes,Yes,Appartement,33.579857,-7.602961
141,Marrakech,Palmeraie,930000,37,1,1,5,Yes,Yes,No,Studio,31.631831,-7.979087
142,Casablanca,Gauthier,883000,31,1,1,2,Yes,No,No,Studio,33.577954,-7.605683
143,Casablanca,Hay Hassani,1420000,53,1,1,1,Yes,No,No,Studio,33.541276,-7.600526
144,Marrakech,Guéliz,1129000,47,1,1,3,Yes,Yes,No,Studio,31.62475,-7.981528
145,Tanger,Malabata,883000,68,2,1,5,Yes,No,No,Appartement,35.756157,-5.833722
146,Casablanca,Gauthier,1504000,63,1,1,1,Yes,No,Yes,Studio,33.576061,-7.607663
147,Casablanca,Bourgogne,1015000,105,2,1,5,Yes,No,Yes,Appartement,33.582662,-7.600911
148,Casablanca,Sidi Maarouf,2532000,155,3,2,3,Yes,Yes,Yes,Appartement,33.549882,-7.611022
149,Casablanca,Maarif,2216000,142,2,1,3,Yes,No,No,Appartement,33.579605,-7.608963
150,Meknès,Ismailia,1502000,161,3,2,2,Yes,No,No,Appartement,33.894875,-5.541833
151,Casablanca,Anfa,3967000,293,4,3,3,Yes,Yes,Yes,Appartement,33.599495,-7.613879
152,Casablanca,Anfa,1521000,118,3,2,4,Yes,No,No,Appartement,33.599491,-7.62213
153,Casablanca,Hay Hassani,1059000,107,2,1,3,Yes,No,No,Appartement,33.552001,-7.60703
154,Casablanca,Anfa,1309000,48,1,1,4,Yes,No,Yes,Studio,33.597868,-7.62407
155,Casablanca,Palmier,963000,37,1,1,3,Yes,No,No,Studio,33.58373,-7.599214
156,Casablanca,Ain Sebaâ,910000,34,1,1,3,Yes,No,No,Studio,33.552757,-7.560607
157,Dar Bouazza,Dar Bouazza Centre,1728000,139,2,2,1,Yes,Yes,Yes,Appartement,33.47757,-7.762788
158,Casablanca,Hay Hassani,1124000,59,1,1,2,Yes,Yes,Yes,Studio,33.550344,-7.598688
159,Casablanca,Palmier,1563000,71,2,2,3,Yes,Yes,Yes,Appartement,33.583082,-7.596271
160,Casablanca,Ain Sebaâ,1909000,83,2,2,3,Yes,Yes,Yes,Appartement,33.556927,-7.567722
161,Casablanca,Bourgogne,673000,86,2,2,5,Yes,Yes,Yes,Appartement,33.577436,-7.599398
162,Marrakech,Palmeraie,945000,36,1,1,5,Yes,Yes,No,Studio,31.626621,-7.979129
163,Casablanca,CIL,1025000,34,1,1,2,Yes,No,No,Studio,33.589557,-7.613516
164,Casablanca,Sidi Maarouf,1254000,50,1,1,1,Yes,No,No,Studio,33.549481,-7.609563
165,Marrakech,Palmeraie,975000,44,1,1,3,Yes,Yes,No,Studio,31.635606,-7.978538
166,Tanger,Centre-ville,945000,58,2,1,5,Yes,No,No,Appartement,35.766952,-5.831809
167,Casablanca,Bourgogne,1535000,54,1,1,1,Yes,No,Yes,Studio,33.578139,-7.598113
168,Casablanca,CIL,1034000,90,2,1,5,Yes,No,Yes,Appartement,33.589592,-7.608902
169,Casablanca,Gauthier,2586000,154,3,2,3,Yes,Yes,Yes,Appartement,33.57555,-7.606819
170,Casablanca,Hay Hassani,2161000,117,2,1,3,Yes,No,No,Appartement,33.551612,-7.601543
171,Meknès,Al Qods,1550000,161,3,2,2,Yes,No,No,Appartement,33.893938,-5.5482
172,Casablanca,Hay Hassani,3981000,318,4,3,3,Yes,Yes,Yes,Appartement,33.549665,-7.597456
173,Casablanca,Anfa,1684000,111,3,2,4,Yes,No,No,Appartement,33.597954,-7.626939
174,Casablanca,Sidi Maarouf,1199000,99,2,1,3,Yes,No,No,Appartement,33.545057,-7.612512
175,Casablanca,Sidi Maarouf,1309000,45,1,1,4,Yes,No,Yes,Studio,33.540859,-7.612311
176,Casablanca,Anfa,927000,31,1,1,3,Yes,No,No,Studio,33.605966,-7.626563
177,Casablanca,Gauthier,816000,32,1,1,3,Yes,No,No,Studio,33.58198,-7.609084
178,Dar Bouazza,Dar Bouazza Centre,1672000,130,2,2,1,Yes,Yes,Yes,Appartement,33.478378,-7.761858
179,Casablanca,Palmier,1232000,58,1,1,2,Yes,Yes,Yes,Studio,33.584659,-7.599364
180,Casablanca,Sidi Maarouf,1555000,74,2,2,3,Yes,Yes,Yes,Appartement,33.548138,-7.608447
181,Casablanca,Sidi Maarouf,1883000,80,2,2,3,Yes,Yes,Yes,Appartement,33.539137,-7.60669
182,Casablanca,Maarif,722000,78,2,2,5,Yes,Yes,Yes,Appartement,33.587463,-7.6064
183,Marrakech,Guéliz,949000,39,1,1,5,Yes,Yes,No,Studio,31.629154,-7.987527
184,Casablanca,Maarif,939000,31,1,1,2,Yes,No,No,Studio,33.587169,-7.599359
185,Casablanca,Sidi Maarouf,1359000,45,1,1,1,Yes,No,No,Studio,33.54442,-7.611582
186,Marrakech,Guéliz,1123000,46,1,1,3,Yes,Yes,No,Studio,31.631733,-7.976029
187,Tanger,Malabata,903000,68,2,1,5,Yes,No,No,Appartement,35.759466,-5.832027
188,Casablanca,Gauthier,1422000,59,1,1,1,Yes,No,Yes,Studio,33.575634,-7.609352
189,Casablanca,Anfa,979000,106,2,1,5,Yes,No,Yes,Appartement,33.604385,-7.617565
190,Casablanca,Palmier,2708000,138,3,2,3,Yes,Yes,Yes,Appartement,33.588137,-7.598114
191,Casablanca,Sidi Maarouf,2117000,121,2,1,3,Yes,No,No,Appartement,33.542142,-7.61103
192,Meknès,Marjane,1540000,175,3,2,2,Yes,No,No,Appartement,33.892064,-5.549978
193,Casablanca,Hay Hassani,3928000,328,4,3,3,Yes,Yes,Yes,Appartement,33.549811,-7.594812
194,Casablanca,Sidi Maarouf,1590000,129,3,2,4,Yes,No,No,Appartement,33.546687,-7.610927
195,Casablanca,Palmier,1105000,107,2,1,3,Yes,No,No,Appartement,33.581712,-7.600374
196,Casablanca,Ain Sebaâ,1297000,48,1,1,4,Yes,No,Yes,Studio,33.552767,-7.558315
197,Casablanca,Hay Hassani,913000,35,1,1,3,Yes,No,No,Studio,33.549704,-7.595474
198,Casablanca,Sidi Maarouf,905000,34,1,1,3,Yes,No,No,Studio,33.540325,-7.604626
199,Dar Bouazza,Bouskoura,1647000,125,2,2,1,Yes,Yes,Yes,Appartement,33.477,-7.763857
200,Casablanca,CIL,1190000,57,1,1,2,Yes,Yes,Yes,Studio,33.584468,-7.617762
201,Casablanca,Sidi Maarouf,1563000,73,2,2,3,Yes,Yes,Yes,Appartement,33.54545,-7.610424
202,Casablanca,Anfa,1837000,79,2,2,3,Yes,Yes,Yes,Appartement,33.595384,-7.613326
203,Casablanca,Anfa,628000,85,2,2,5,Yes,Yes,Yes,Appartement,33.596753,-7.625364
204,Marrakech,Targa,912000,36,1,1,5,Yes,Yes,No,Studio,31.62887,-7.977377
205,Casablanca,Gauthier,1021000,35,1,1,2,Yes,No,No,Studio,33.576563,-7.608045
206,Casablanca,CIL,1308000,53,1,1,1,Yes,No,No,Studio,33.586791,-7.614254
207,Marrakech,Targa,1082000,41,1,1,3,Yes,Yes,No,Studio,31.630216,-7.985666
208,Tanger,California,870000,60,2,1,5,Yes,No,No,Appartement,35.763966,-5.83036
209,Casablanca,Maarif,1543000,62,1,1,1,Yes,No,Yes,Studio,33.587925,-7.606201
210,Casablanca,Anfa,980000,90,2,1,5,Yes,No,Yes,Appartement,33.601994,-7.627273
211,Casablanca,Maarif,2805000,159,3,2,3,Yes,Yes,Yes,Appartement,33.587249,-7.60166
212,Casablanca,CIL,2228000,117,2,1,3,Yes,No,No,Appartement,33.586586,-7.619407
213,Meknès,Marjane,1426000,158,3,2,2,Yes,No,No,Appartement,33.899564,-5.552183
214,Casablanca,Anfa,3672000,329,4,3,3,Yes,Yes,Yes,Appartement,33.593143,-7.625187
215,Casablanca,Sidi Maarouf,1507000,132,3,2,4,Yes,No,No,Appartement,33.537075,-7.613058
216,Casablanca,Sidi Maarouf,1161000,108,2,1,3,Yes,No,No,Appartement,33.543353,-7.608737
217,Casablanca,Sidi Maarouf,1274000,48,1,1,4,Yes,No,Yes,Studio,33.542535,-7.601345
218,Casablanca,Palmier,878000,35,1,1,3,Yes,No,No,Studio,33.577453,-7.599238
219,Casablanca,Hay Hassani,880000,33,1,1,3,Yes,No,No,Studio,33.550475,-7.596589
220,Dar Bouazza,Dar Bouazza Centre,1783000,139,2,2,1,Yes,Yes,Yes,Appartement,33.481944,-7.765066
221,Casablanca,CIL,1255000,49,1,1,2,Yes,Yes,Yes,Studio,33.592437,-7.616477
222,Casablanca,Ain Sebaâ,1533000,71,2,2,3,Yes,Yes,Yes,Appartement,33.551357,-7.559812
223,Casablanca,Bourgogne,1826000,76,2,2,3,Yes,Yes,Yes,Appartement,33.580717,-7.601359
224,Casablanca,Hay Hassani,730000,81,2,2,5,Yes,Yes,Yes,Appartement,33.54882,-7.589511
225,Marrakech,Hivernage,876000,35,1,1,5,Yes,Yes,No,Studio,31.635534,-7.981791
226,Casablanca,Anfa,1013000,35,1,1,2,Yes,No,No,Studio,33.5982,-7.621998
227,Casablanca,Hay Hassani,1274000,52,1,1,1,Yes,No,No,Studio,33.550892,-7.595448
228,Marrakech,Palmeraie,1087000,46,1,1,3,Yes,Yes,No,Studio,31.62207,-7.98436
229,Tanger,Malabata,989000,59,2,1,5,Yes,No,No,Appartement,35.76344,-5.828841
230,Casablanca,Maarif,1399000,60,1,1,1,Yes,No,Yes,Studio,33.586166,-7.608229
231,Casablanca,Palmier,987000,98,2,1,5,Yes,No,Yes,Appartement,33.583309,-7.600697
232,Casablanca,Maarif,2613000,158,3,2,3,Yes,Yes,Yes,Appartement,33.584837,-7.604891
233,Casablanca,Anfa,2156000,142,2,1,3,Yes,No,No,Appartement,33.595735,-7.624013
234,Meknès,Ismailia,1495000,176,3,2,2,Yes,No,No,Appartement,33.894521,-5.551131
235,Casablanca,Ain Sebaâ,4027000,307,4,3,3,Yes,Yes,Yes,Appartement,33.560287,-7.563875
236,Casablanca,CIL,1525000,125,3,2,4,Yes,No,No,Appartement,33.596704,-7.613365
237,Casablanca,Hay Hassani,1143000,114,2,1,3,Yes,No,No,Appartement,33.556481,-7.593448
238,Casablanca,Hay Hassani,1398000,47,1,1,4,Yes,No,Yes,Studio,33.545964,-7.602179
239,Casablanca,Sidi Maarouf,923000,36,1,1,3,Yes,No,No,Studio,33.542833,-7.615052
240,Casablanca,CIL,879000,32,1,1,3,Yes,No,No,Studio,33.587583,-7.616459
241,Dar Bouazza,Dar Bouazza Centre,1759000,123,2,2,1,Yes,Yes,Yes,Appartement,33.473953,-7.758019
242,Casablanca,Ain Sebaâ,1083000,57,1,1,2,Yes,Yes,Yes,Studio,33.554392,-7.560761
243,Casablanca,CIL,1558000,77,2,2,3,Yes,Yes,Yes,Appartement,33.590993,-7.604068
244,Casablanca,Maarif,1657000,80,2,2,3,Yes,Yes,Yes,Appartement,33.585792,-7.603777
245,Casablanca,CIL,661000,74,2,2,5,Yes,Yes,Yes,Appartement,33.592609,-7.618156
246,Marrakech,M'Hamid,838000,37,1,1,5,Yes,Yes,No,Studio,31.631713,-7.989158
247,Casablanca,Hay Hassani,918000,33,1,1,2,Yes,No,No,Studio,33.556363,-7.599457
248,Casablanca,Bourgogne,1414000,47,1,1,1,Yes,No,No,Studio,33.578412,-7.600734
249,Marrakech,Targa,974000,48,1,1,3,Yes,Yes,No,Studio,31.626266,-7.981396
250,Tanger,California,1011000,61,2,1,5,Yes,No,No,Appartement,35.760873,-5.832104
251,Casablanca,Ain Sebaâ,1558000,54,1,1,1,Yes,No,Yes,Studio,33.547192,-7.564208
252,Casablanca,Sidi Maarouf,1031000,100,2,1,5,Yes,No,Yes,Appartement,33.540906,-7.61331
253,Casablanca,Bourgogne,2450000,141,3,2,3,Yes,Yes,Yes,Appartement,33.580152,-7.600082
254,Casablanca,Sidi Maarouf,2163000,142,2,1,3,Yes,No,No,Appartement,33.541032,-7.613873
255,Meknès,Hamria,1521000,179,3,2,2,Yes,No,No,Appartement,33.88864,-5.550418
256,Casablanca,Palmier,3974000,333,4,3,3,Yes,Yes,Yes,Appartement,33.580567,-7.596212
257,Casablanca,Maarif,1713000,134,3,2,4,Yes,No,No,Appartement,33.58882,-7.603943
258,Casablanca,Gauthier,1066000,109,2,1,3,Yes,No,No,Appartement,33.581278,-7.601208
259,Casablanca,Maarif,1235000,49,1,1,4,Yes,No,Yes,Studio,33.586844,-7.609228
260,Casablanca,Maarif,988000,33,1,1,3,Yes,No,No,Studio,33.589639,-7.599976
261,Casablanca,Hay Hassani,947000,30,1,1,3,Yes,No,No,Studio,33.544043,-7.600226
262,Dar Bouazza,Val Fleuri,1691000,120,2,2,1,Yes,Yes,Yes,Appartement,33.483393,-7.762795
263,Casablanca,Palmier,1095000,49,1,1,2,Yes,Yes,Yes,Studio,33.587763,-7.602262
264,Casablanca,Ain Sebaâ,1681000,64,2,2,3,Yes,Yes,Yes,Appartement,33.557303,-7.568546
265,Casablanca,Maarif,1709000,71,2,2,3,Yes,Yes,Yes,Appartement,33.586238,-7.602457
266,Casablanca,Palmier,662000,77,2,2,5,Yes,Yes,Yes,Appartement,33.578588,-7.596981
267,Marrakech,Guéliz,862000,33,1,1,5,Yes,Yes,No,Studio,31.630287,-7.977062
